"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"128","Innovation Takes Center Stage http://t.co/9KcJREUfhX #EduTech http://t.co/lpD9pGOibk",FALSE,1,NA,2015-04-14 22:08:52,FALSE,NA,"588101639900372993",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","Spencer_GG",0,FALSE,FALSE,NA,NA
"129","LinkedIn spends $1 billion on education company to improve skill training http://t.co/2bebUPN8MF #EdChat #edtech #EduTech #edchat",FALSE,0,NA,2015-04-14 22:08:27,FALSE,NA,"588101536225558530",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","AzaS_LA",0,FALSE,FALSE,NA,NA
"130","How 2 Put Metacognition in Process 4 #Teachers.#Metacognition,#Comprehension, #education,#edutech,#Teaching,#School,http://t.co/zhtcTUK2y7",FALSE,0,NA,2015-04-14 22:03:00,FALSE,NA,"588100165095022592",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"131","RT @Aerohive: #WiFi is changing the education landscape, especially when it comes to digital white board: http://t.co/SSTKOGY7WW #EduTech #¡­",FALSE,0,NA,2015-04-14 21:42:25,FALSE,NA,"588094985687412736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MidCoInc",4,TRUE,FALSE,NA,NA
"132","RT @Aerohive: #WiFi is changing the education landscape, especially when it comes to digital white board: http://t.co/SSTKOGY7WW #EduTech #¡­",FALSE,0,NA,2015-04-14 21:17:24,FALSE,NA,"588088689668001793",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","ExceedME",4,TRUE,FALSE,NA,NA
"133","#WiFi is changing the education landscape, especially when it comes to digital white board: http://t.co/SSTKOGY7WW #EduTech #WLAN",FALSE,0,NA,2015-04-14 21:02:29,FALSE,NA,"588084936386748416",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Aerohive",4,FALSE,FALSE,NA,NA
"134","RT @ignite_teaching: Ignite Teaching: your free tool 4 Project Based Learning #accountability #PBL #edtech #edutech http://t.co/EJNke5MSTg ¡­",FALSE,0,NA,2015-04-14 20:28:45,FALSE,NA,"588076447073447937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MickyDionisio",2,TRUE,FALSE,NA,NA
"135","DYSLEXIC WHO,,, STUDENT OR THE TEACHER ??#Dyslexia, #Comprehension,#metacognition,#edutech,#TeachingLearningProcess,http://t.co/QaigSDjb3F",FALSE,0,NA,2015-04-14 20:03:17,FALSE,NA,"588070035882692608",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"136","RT @Advait_LA: This school groups students by ability, not grade level http://t.co/DU8oU8F451 #EduChat #EduTech #edchat #k12",FALSE,0,NA,2015-04-14 19:49:05,FALSE,NA,"588066463908528128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EduOfficeWest",1,TRUE,FALSE,NA,NA
"137","RT @Advait_LA: Faster learning progress seen in first Common Core state http://t.co/mkMbI7QeGn #EduTech #chromebooks #GAFE #k12",FALSE,0,NA,2015-04-14 19:48:07,FALSE,NA,"588066220341075969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EduOfficeWest",2,TRUE,FALSE,NA,NA
